Collab,Article,laureate
andrea weber,cash-on-hand and competing models of intertemporal behavior: new evidence from the labor market,david card
dean r hyslop,the dynamic effects of an earnings subsidy for long-term welfare recipients: evidence from the ssp applicant experiment,david card
brian p mccall,when to start a fight and when to fight back: liability disputes in the workers' compensation system,david card
david lee,regression discontinuity inference with specification error,david card
jesse rothstein,racial segregation and the black-white test score gap,david card
alexandre mas,tipping and the dynamics of segregation in neighborhoods and schools,david card
jesse rothstein,tipping and the dynamics of segregation in neighborhoods and schools,david card
christian dustmann,understanding attitudes to immigration: the migration and minority module of the first european social survey,david card
ian preston,understanding attitudes to immigration: the migration and minority module of the first european social survey,david card
enrico moretti,does voting technology affect election outcomes? touch-screen voting and the 2004 presidential election,david card
ethan g lewis,the diffusion of mexican immigrants during the 1990s: explanations and impacts,david card
carlos dobkin,the impact of nearly universal insurance coverage on health care utilization and health: evidence from medicare,david card
nicole maestas,the impact of nearly universal insurance coverage on health care utilization and health: evidence from medicare,david card
carlos dobkin,the impact of nearly universal insurance coverage on health care utilization and health evidence from medicare,david card
nicole maestas,the impact of nearly universal insurance coverage on health care utilization and health evidence from medicare,david card
alan b keueger,would the elimination of affirmative action affect highly qualified minority applicants? evidence from california and texas,david card
christian dustmann,"racial harassment, ethnic concentration and economic conditions",david card
ian preston,"racial harassment, ethnic concentration and economic conditions",david card
francesca fabbri,"racial harassment, ethnic concentration and economic conditions",david card
christian dustmann,"racial harassment, ethnic concentration, and economic conditions",david card
francesca fabbri,"racial harassment, ethnic concentration, and economic conditions",david card
ian preston,"racial harassment, ethnic concentration, and economic conditions",david card
dean r hyslop,estimating the effects of a time limited earnings subsidy for welfare leavers,david card
dean r hyslop,estimating the effects of a time-limited earnings subsidy for welfare-leavers,david card
sara de la rica,the effect of firm-level contracts on the structure of wages: evidence from matched employer-employee data,david card
thomas lemieux,"unionization and wage inequality: a comparative study of the us, the uk, and canada",david card
w craig riddell,"unionization and wage inequality: a comparative study of the us, the uk, and canada",david card
richard b freeman,what have two decades of british economic reform delivered?,david card
lara dawn shore-sheppard,using discontinuous eligibility rules to identify the effects of the federal medicaid expansions on low income children,david card
lara dawn shore-sheppard,using discontinuous eligibility rules to identify the effects of the federal medicaid expansions on low-income children,david card
andrew k g hildreth,"the measurement of medicaid coverage in the sipp: evidence from california, 1990-1996",david card
lara dawn shore-sheppard,"the measurement of medicaid coverage in the sipp: evidence from california, 1990-1996",david card
john dinardo,skill biased technological change and rising wage inequality: some problems and puzzles,david card
john dinardo,skill-biased technological change and rising wage inequality: some problems and puzzles,david card
andrew k g hildreth,the measurement of medicaid coverage in the sipp : evidence from a comparison of matched records,david card
lara dawn shore-sheppard,the measurement of medicaid coverage in the sipp : evidence from a comparison of matched records,david card
andrew k g hildreth,the measurement of medicaid coverage in the sipp: evidence from a comparison of matched records,david card
lara dawn shore-sheppard,the measurement of medicaid coverage in the sipp: evidence from a comparison of matched records,david card
orley c ashenfelter,did the elimination of mandatory retirement affect faculty retirement flows?,david card
charles michalopoulos,the limits to wage growth: measuring the growth rate of wages for recent welfare leavers,david card
philip robins,the limits to wage growth: measuring the growth rate of wages for recent welfare leavers,david card
lara dawn shore-sheppard,using discontinuous eligibility rules to identify the effects of the federal medicaid expansions,david card
john dinardo,do immigrant inflows lead to native outflows?,david card
thomas lemieux,can falling supply explain the rising return to college for younger men? a cohort-based analysis,david card
charles michalopoulos,when financial incentives pay for themselves: early findings from the self-sufficiency project's applicant study,david card
philip robins,when financial incentives pay for themselves: early findings from the self-sufficiency project's applicant study,david card
thomas lemieux,dropout and enrollment trends in the post-war period: what went wrong in the 1970s?,david card
thomas lemieux,dropout and enrollment trends in the postwar period: what went wrong in the 1970s?,david card
orley c ashenfelter,how did the elimination of mandatory retirement affect faculty retirement?,david card
rebecca blank,financial incentives for increasing work and income among low-income families,david card
philip robins,financial incentives for increasing work and income among low-income families,david card
rebecca blank,financial incentives for increasing work and income among low- income families,david card
philip robins,financial incentives for increasing work and income among low- income families,david card
john dinardo,"the more things change: immigrants and the children of immigrants in the 1940s, the 1970s, and the 1990s",david card
eugena estes,"the more things change: immigrants and the children of immigrants in the 1940s, the 1970s, and the 1990s",david card
john dinardo,"the more things change: immigrants and the children of immigrants in the 1940's, the 1970's, and the 1990's",david card
eugena estes,"the more things change: immigrants and the children of immigrants in the 1940's, the 1970's, and the 1990's",david card
philip robins,would financial incentives for leaving welfare lead some people to stay on welfare longer? an experimental evaluation of 'entry effects' in the ssp,david card
winston lin,would financial incentives for leaving welfare lead some people to stay on welfare longer? an experimental evaluation of 'entry effects' in the ssp,david card
phillip b levine,extended benefits and the duration of ui spells: evidence from the new jersey extended benefit program,david card
thomas lemieux,"education, earnings, and the ""canadian gi bill""",david card
thomas lemieux,"education, earnings, and the ‘canadian gi bill’",david card
abigail payne,"school finance reform, the distribution of school spending, and the distribution of sat scores",david card
alan b keueger,a reanalysis of the effect of the new jersey minimum wage increase on the fast-food industry with representative payroll data,david card
thomas lemieux,"adapting to circumstances: the evolution of work, school, and living arrangements among north american youth",david card
thomas lemieux,"adapting to circumstances (the evolution of work, school,and living arrangements among north american youth)",david card
winston lin,would financial incentives for leaving welfare lead some people to stay on welfare longer? an experimental evaluation of 'entry effects' in the self-sufficiency project,david card
philip robins,would financial incentives for leaving welfare lead some people to stay on welfare longer? an experimental evaluation of 'entry effects' in the self-sufficiency project,david card
dean r hyslop,"does inflation ""grease the wheels of the labor market""?",david card
w craig riddell,unemployment in canada and the united states: a further analysis,david card
alan b keueger,school resources and student outcomes: an overview of the literature and new evidence from north and south carolina,david card
philip robins,do financial incentives encourage welfare recipients to work? early findings from the canadian self sufficiency project,david card
francis kramarz,"changes in the relative structure of wages and employment: a comparison of the united states, canada, and france",david card
thomas lemieux,"changes in the relative structure of wages and employment: a comparison of the united states, canada, and france",david card
alan b keueger,labor market effects of school quality: theory and evidence,david card
philip robins,do financial incentives encourage welfare recipients to work? evidence from a randomized evaluation of the self-sufficiency project,david card
brian p mccall,is workers' compensation covering uninsured medical costs? evidence fromthe `monday effect',david card
brian p mccall,is workers' compensation covering uninsured medical costs? evidence from the 'monday effect',david card
alan b keueger,the economic return to school quality: a partial survey,david card
alan b keueger,"a living wage? the effects of the minimum wage on the distribution of wages, the distribution of family earnings, and poverty",david card
thomas lemieux,changing wage structure and black-white wage differentials: a longitudinal analysis,david card
thomas lemieux,changing wage structure and black-white differentials among men and women: a longitudinal analysis,david card
alan b keueger,the effect of the minimum wage on shareholder wealth,david card
alan b keueger,minimum wages and employment: a case study of the fast food industry in new jersey and pennsylvania,david card
thomas lemieux,"wage dispersion, returns to skill, and black-white wage differentials",david card
lawrence f katz,"comment on david neumark and william wascher, ""employment effects of minimum and subminimum wages: panel data on state minimum wage laws""",david card
alan b keueger,"comment on david neumark and william wascher, ""employment effects of minimum and subminimum wages: panel data on state minimum wage laws""",david card
lawrence f katz,an evaluation of recent evidence on the employment effects of minimum and subminimum wages,david card
alan b keueger,an evaluation of recent evidence on the employment effects of minimum and subminimum wages,david card
alan b keueger,trends in relative black/white earnings revisited,david card
w craig riddell,a comparative analysis of unemployment in canada and the united states,david card
phillip b levine,unemployment insurance taxes and the cyclical and seasonal properties of unemployment,david card
craig a olson,"bargaining power, strike duration, and wage outcomes: an analysis of strikes in the 1880s",david card
craig a olson,"bargaining power, strike durations, and wage outcomes: an analysis of strikes in the 1880s",david card
kristin f butcher,immigration and wages: evidence from the 1980s,david card
alan b keueger,school quality and black-white relative earnings: a direct assessment,david card
alan b keueger,school quality and black/white relative earnings: a direct assessment,david card
phillip b levine,unemployment insurance taxes and the cyclical properties of employment and unemployment,david card
alan b keueger,does school quality matter? returns to education and the characteristics of public schools in the united states,david card
joseph g altonji,the effects of immigration on the labor market outcome of less-skilled natives,david card
joseph g altonji,the effects of immigration on the labor market outcomes of less-skilled natives,david card
rebecca blank,recent trends in insured and uninsured unemployment: is there an explanation?,david card
joseph g altonji,the effects of immigration on the labor market outcomes of natives,david card
daniel g sullivan,measuring the effect of subsidized training programs on movements in andout of employment,david card
orley c ashenfelter,why have unemployment rates in canada and the us diverged?,david card
daniel g sullivan,measuring the effect of ceta participation on movements in and out of employment,david card
john m abowd,on the covariance structure of earnings and hours changes,david card
john m abowd,intertemporal labor supply and long term employment contracts,david card
orley c ashenfelter,using the longitudinal structure of earnings to estimate the effect of training programs,david card
john m abowd,intertemporal labor supply in the presence of long term contracts,david card
orley c ashenfelter,time series representation of economic variables and alternative models of the labor market,david card
orley c ashenfelter,time series representations of economic variables and alternative models of the labour market,david card
alexandre mas,introduction to a special issue in honor of alan b krueger,david card
alan b keueger,mindestlöhne und beschäftigung: eine fallstudie zur fast-food-branche in new jersey und pennsylvania,david card
françois gerard,assortative matching or exclusionary hiring? the impact of employment and pay policies on racial wage differences in brazil,david card
lorenzo lagos,assortative matching or exclusionary hiring? the impact of employment and pay policies on racial wage differences in brazil,david card
edson severnini,assortative matching or exclusionary hiring? the impact of employment and pay policies on racial wage differences in brazil,david card
dean r hyslop,female earnings inequality: the changing role of family characteristics and its effect on the extensive and intensive margins,david card
david lee,introduction: essays in honor of john e dinardo,david card
thomas lemieux,introduction: essays in honor of john e dinardo,david card
stefano dellavigna,what do editors maximize? evidence from four economics journals,david card
philip oreopoulos,introduction: labor markets and public policies in the united states and canada,david card
alan b keueger,book review: myth and measurement and the theory and practice of labor economics,david card
giovanni peri,immigration economics by george j borjas: a review essay,david card
stefano dellavigna,page limits on economics articles: evidence from two journals,david card
pablo ibarrarán,the labor market impacts of youth training in the dominican republic,david card
ferdinando regalia,the labor market impacts of youth training in the dominican republic,david card
david rosas-shady,the labor market impacts of youth training in the dominican republic,david card
yuri soares,the labor market impacts of youth training in the dominican republic,david card
rebecca blank,the changing incidence and severity of poverty spells among female-headed families,david card
carlos dobkin,the impact of nearly universal insurance coverage on health care utilization: evidence from medicare,david card
nicole maestas,the impact of nearly universal insurance coverage on health care utilization: evidence from medicare,david card
martin d dooley,school choice and the benefits of competition: evidence from ontario,david card
abigail payne,school choice and the benefits of competition: evidence from ontario,david card
sara de la rica,firm-level contracting and the structure of wages in spain,david card
henrys farber,essays in honor of orley ashenfelter introduction,david card
thomas lemieux,unions and wage inequality,david card
w craig riddell,unions and wage inequality,david card
christoph m schmidt,symposium on “second-generation immigrants and the transition to ethnic minorities”,david card
orley c ashenfelter,did the elimination of mandatory retirement affect faculty retirement?,david card
richard b freeman,what have two decades of british economic reform delivered in terms of productivity growth?,david card
john dinardo,technology and us wage inequality: a brief look,david card
thomas lemieux,going to college to avoid the draft: the unintended legacy of the vietnam war,david card
alan b keueger,minimum wages and employment: a case study of the fast-food industry in new jersey and pennsylvania: reply,david card
alan b keueger,school resources and student outcomes,david card
brian p mccall,is workers' compensation covering uninsured medical costs? evidence from the â€œmonday effectâ€,david card
rebecca blank,"poverty, income distribution, and growth: are they still connected",david card
peter d hull,instrumental variable methods reconcile intention-to-screen effects across pragmatic cancer screening trials,joshua angrist
peter d hull,instrumental variables methods reconcile intention-to-screen effects across pragmatic cancer screening trials,joshua angrist
peter d hull,methods for measuring school effectiveness,joshua angrist
christopher chambe,methods for measuring school effectiveness,joshua angrist
guthrie gray-lobe,still worth the trip? school busing effects in boston and new york,joshua angrist
clemence m idoux,still worth the trip? school busing effects in boston and new york,joshua angrist
parag a pathak,still worth the trip? school busing effects in boston and new york,joshua angrist
michal kolesar,one instrument to rule them all: the bias and coverage of just-id iv,joshua angrist
peter d hull,race and the mismeasure of school quality,joshua angrist
parag a pathak,race and the mismeasure of school quality,joshua angrist
christopher chambe,race and the mismeasure of school quality,joshua angrist
david autor,marginal effects of merit aid for low-income students,joshua angrist
amanda pallais,marginal effects of merit aid for low-income students,joshua angrist
atila abdulkadroǧlu,breaking ties: regression discontinuity design meets market design,joshua angrist
yusuke narita,breaking ties: regression discontinuity design meets market design,joshua angrist
parag a pathak,breaking ties: regression discontinuity design meets market design,joshua angrist
peter d hull,simple and credible value-added estimation using centralized school assignment,joshua angrist
parag a pathak,simple and credible value-added estimation using centralized school assignment,joshua angrist
christopher walters,simple and credible value-added estimation using centralized school assignment,joshua angrist
christopher chambe,simple and credible value-added estimation using centralized school assignment,joshua angrist
brigham r frandsen,machine labor,joshua angrist
parag a pathak,choice and consequence: assessing mismatch at chicago exam schools,joshua angrist
román andrés zárate,choice and consequence: assessing mismatch at chicago exam schools,joshua angrist
atila abdulkadroǧlu,impact evaluation in matching markets with general tie-breaking,joshua angrist
yusuke narita,impact evaluation in matching markets with general tie-breaking,joshua angrist
parag a pathak,impact evaluation in matching markets with general tie-breaking,joshua angrist
jorn-steffen pischke,"undergraduate econometrics instruction: through our classes, darkly",joshua angrist
pierre azoulay,inside job or deep impact? using extramural citations to assess economic scholarship,joshua angrist
glenn ellison,inside job or deep impact? using extramural citations to assess economic scholarship,joshua angrist
ryan hill,inside job or deep impact? using extramural citations to assess economic scholarship,joshua angrist
susan feng lu,inside job or deep impact? using extramural citations to assess economic scholarship,joshua angrist
atila abdulkadroǧlu,research design meets market design: using centralized assignment for impact evaluation,joshua angrist
yusuke narita,research design meets market design: using centralized assignment for impact evaluation,joshua angrist
parag a pathak,research design meets market design: using centralized assignment for impact evaluation,joshua angrist
sydnee caldwell,uber vs taxi: a driver’s eye view,joshua angrist
jonathan v hall,uber vs taxi: a driver’s eye view,joshua angrist
victor lavy,maimonides rule redux,joshua angrist
jetson leder-luis,maimonides rule redux,joshua angrist
adi shany,maimonides rule redux,joshua angrist
victor lavy,maimonides' rule redux,joshua angrist
jetson leder-luis,maimonides' rule redux,joshua angrist
adi shany,maimonides' rule redux,joshua angrist
erich battistin,in a small moment: class size and moral hazard in the italian mezzogiorno,joshua angrist
daniela vuri,in a small moment: class size and moral hazard in the italian mezzogiorno,joshua angrist
david autor,"evaluating post-secondary aid: enrollment, persistence, and projected completion effects",joshua angrist
sally hudson,"evaluating post-secondary aid: enrollment, persistence, and projected completion effects",joshua angrist
amanda pallais,"evaluating post-secondary aid: enrollment, persistence, and projected completion effects",joshua angrist
peter d hull,leveraging lotteries for school value-added: testing and estimation,joshua angrist
parag a pathak,leveraging lotteries for school value-added: testing and estimation,joshua angrist
christopher walters,leveraging lotteries for school value-added: testing and estimation,joshua angrist
christopher chambe,leveraging lotteries for school value-added: testing and estimation,joshua angrist
atila abdulkadroǧlu,charters without lotteries: testing takeovers in new orleans and boston,joshua angrist
peter d hull,charters without lotteries: testing takeovers in new orleans and boston,joshua angrist
parag a pathak,charters without lotteries: testing takeovers in new orleans and boston,joshua angrist
jorn-steffen pischke,the path from cause to effect: mastering 'metrics,joshua angrist
erich battistin,in a small moment: class size and moral hazard in the mezzogiorno,joshua angrist
daniela vuri,in a small moment: class size and moral hazard in the mezzogiorno,joshua angrist
david autor,leveling up: early results from a randomized evaluation of post-secondary aid,joshua angrist
sally hudson,leveling up: early results from a randomized evaluation of post-secondary aid,joshua angrist
amanda pallais,leveling up: early results from a randomized evaluation of post-secondary aid,joshua angrist
òscar jordà,semiparametric estimates of monetary policy effects: string theory revisited,joshua angrist
guido kuersteiner,semiparametric estimates of monetary policy effects: string theory revisited,joshua angrist
miikka rokkanen,wanna get away? rd identification away from the cutoff,joshua angrist
sarah r cohodes,"stand and deliver: effects of boston's charter high school on college preparation, entry, and choice",joshua angrist
susan dynarski,"stand and deliver: effects of boston's charter high school on college preparation, entry, and choice",joshua angrist
parag a pathak,"stand and deliver: effects of boston's charter high school on college preparation, entry, and choice",joshua angrist
christopher chambe,"stand and deliver: effects of boston's charter high school on college preparation, entry, and choice",joshua angrist
sarah r cohodes,"stand and deliver: effects of boston's charter high schools on college preparation, entry, and choice",joshua angrist
susan dynarski,"stand and deliver: effects of boston's charter high schools on college preparation, entry, and choice",joshua angrist
parag a pathak,"stand and deliver: effects of boston's charter high schools on college preparation, entry, and choice",joshua angrist
christopher chambe,"stand and deliver: effects of boston's charter high schools on college preparation, entry, and choice",joshua angrist
atila abdulkadroǧlu,the elite illusion: achievement effects at boston and new york exam schools,joshua angrist
parag a pathak,the elite illusion: achievement effects at boston and new york exam schools,joshua angrist
parag a pathak,explaining charter school effectiveness,joshua angrist
christopher chambe,explaining charter school effectiveness,joshua angrist
susan dynarski,who benefits from kipp?,joshua angrist
thomas j kane,who benefits from kipp?,joshua angrist
parag a pathak,who benefits from kipp?,joshua angrist
christopher chambe,who benefits from kipp?,joshua angrist
jorn-steffen pischke,the credibility revolution in empirical economics: how better research design is taking the con out of econometrics,joshua angrist
victor lavy,multiple experiments for the causal link between the quantity and quality of children,joshua angrist
analia schlosser,multiple experiments for the causal link between the quantity and quality of children,joshua angrist
i fernandez-val,extrapolate-ing: external validity and overidentification in the late framework,joshua angrist
philip oreopoulos,"when opportunity knocks, who answers? new evidence on college achievement awards",joshua angrist
tyler williams,"when opportunity knocks, who answers? new evidence on college achievement awards",joshua angrist
philip oreopoulos,"when opportunity knocks, who answers?: new evidence on college achievement awards",joshua angrist
tyler williams,"when opportunity knocks, who answers?: new evidence on college achievement awards",joshua angrist
stacey h chen,did vietnam veterans get sicker in the 1990s? the complicated effects of military service on self-reported health,joshua angrist
brigham r frandsen,did vietnam veterans get sicker in the 1990s? the complicated effects of military service on self-reported health,joshua angrist
stacey h chen,"long-term economic consequences of vietnam-era conscription: schooling, experience and earnings",joshua angrist
atila abdulkadroǧlu,accountability and flexibility in public schools: evidence from boston's charters and pilots,joshua angrist
susan dynarski,accountability and flexibility in public schools: evidence from boston's charters and pilots,joshua angrist
thomas j kane,accountability and flexibility in public schools: evidence from boston's charters and pilots,joshua angrist
parag a pathak,accountability and flexibility in public schools: evidence from boston's charters and pilots,joshua angrist
guido kuersteiner,causal effects of monetary shocks: semiparametric conditional independence tests with a multinomial propensity score,joshua angrist
philip oreopoulos,incentives and services for college achievement: evidence from a randomized trial,joshua angrist
daniel lang,incentives and services for college achievement: evidence from a randomized trial,joshua angrist
stacey h chen,"long-term effects of vietnam-era conscription: schooling, experience and earnings",joshua angrist
stacey h chen,"long-term consequences of vietnam-era conscription: schooling, experience, and earnings",joshua angrist
aimee chin,is spanish-only schooling responsible for the puerto rican language gap?,joshua angrist
ricardo godoy,is spanish-only schooling responsible for the puerto rican language gap?,joshua angrist
victor lavy,new evidence on the causal link between the quantity and quality of children,joshua angrist
analia schlosser,new evidence on the causal link between the quantity and quality of children,joshua angrist
daniel lang,lead them to water and pay them to drink: an experiment with services and incentives for college achievement,joshua angrist
philip oreopoulos,lead them to water and pay them to drink: an experiment with services and incentives for college achievement,joshua angrist
jonathan gruber,does teacher testing raise teacher quality? evidence from state certification requirements,joshua angrist
adriana kugler,"rural windfall or a new resource curse? coca, income, and civil conflict in colombia",joshua angrist
michael rees,long-term consequences of secondary school vouchers: evidence from administrative records in colombia,joshua angrist
kevin lang,does school integration generate peer effects? evidence from boston's metco program,joshua angrist
v chernozhukov,"quantile regression under misspecification, with an application to the us wage structure",joshua angrist
i fernandez-val,"quantile regression under misspecification, with an application to the us wage structure",joshua angrist
i fernandez-val,quantile regression under misspecification,joshua angrist
v chernozhukov,quantile regression under misspecification,joshua angrist
guido kuersteiner,semiparametric causality tests using the policy propensity score,joshua angrist
victor lavy,achievement awards for high school matriculation: evidence from randomized trials,joshua angrist
kevin lang,how important are classroom peer effects? evidence from boston's metco program,joshua angrist
victor lavy,the effect of high school matriculation awards: evidence from randomized trials,joshua angrist
adriana kugler,protective or counter-productive? european labor market institutions and the effect of immigrants on eu natives,joshua angrist
michael rees,vouchers for private schooling in colombia: evidence from a randomized natural experiment,joshua angrist
adriana kugler,protective or counter-productive? labor market institutions and the effect of immigration on eu natives,joshua angrist
victor lavy,new evidence on classroom computers and pupil learning,joshua angrist
alan b keueger,instrumental variables and the search for identification: from supply and demand to natural experiments,joshua angrist
alberto abadie,instrumental variables estimates of the effect of subsidized training on the quantiles of trainee earnings,joshua angrist
guido w imbens,instrumental variables estimates of the effect of subsidized training on the quantiles of trainee earnings,joshua angrist
jinyong hahn,when to control for covariates? panel-asymptotic results for estimates of treatment effects,joshua angrist
daron acemoglu,how large are the social returns to education? evidence from compulsory schooling laws,joshua angrist
john h johnson iv,effects of work-related absences on families: evidence from the gulf war,joshua angrist
alan b keueger,empirical strategies in labor economics,joshua angrist
victor lavy,does teacher training affect pupil learning? evidence from matched comparisons in jerusalem public schools,joshua angrist
alberto abadie,instrumental variables estimation of quantile treatment effects,joshua angrist
guido w imbens,instrumental variables estimation of quantile treatment effects,joshua angrist
daron acemoglu,consequences of employment protection? the case of the americans with disabilities act,joshua angrist
victor lavy,using maimonides' rule to estimate the effect of class size on student achievement,joshua angrist
victor lavy,the effect of teen childbearing and single parenthood on childhood disabilities and progress in school,joshua angrist
william n evans,schooling and labor market consequences of the 1970 state abortion reforms,joshua angrist
william n evans,children and their parents' labor supply: evidence from exogenous variation in family size,joshua angrist
kathryn graddy,non-parametric demand analysis with an application to the demand for fish,joshua angrist
guido w imbens,non-parametric demand analysis with an application to the demand for fish,joshua angrist
guido w imbens,jackknife instrumental variables estimation,joshua angrist
alan b keueger,jackknife instrumental variables estimation,joshua angrist
alan b keueger,split sample instrumental variables,joshua angrist
guido w imbens,identification and estimation of local average treatment effects,joshua angrist
guido w imbens,identification of causal effects using instrumental variables,joshua angrist
db rubin,identification of causal effects using instrumental variables,joshua angrist
alan b keueger,estimating the payoff to schooling using the vietnam-era draft lottery,joshua angrist
guido w imbens,average causal response with variable treatment intensity,joshua angrist
guido w imbens,sources of identifying information in evaluation models,joshua angrist
alan b keueger,does compulsory school attendance affect schooling and earnings?,joshua angrist
alan b keueger,the effect of age at school entry on educational attainment: an application of instrumental variables with moments from two samples,joshua angrist
alan b keueger,why do world war ii veterans earn more than nonveterans?,joshua angrist
whitney k newey,minimum chi-square and three-stage least squares in fixed effects models,joshua angrist
peter d hull,credible school value-added with undersubscribed school lotteries,joshua angrist
parag a pathak,credible school value-added with undersubscribed school lotteries,joshua angrist
christopher walters,credible school value-added with undersubscribed school lotteries,joshua angrist
sydnee caldwell,uber versus taxi: a driver's eye view,joshua angrist
jonathan v hall,uber versus taxi: a driver's eye view,joshua angrist
pierre azoulay,inside job or deep impact? extramural citations and the influence of economic scholarship,joshua angrist
glenn ellison,inside job or deep impact? extramural citations and the influence of economic scholarship,joshua angrist
ryan hill,inside job or deep impact? extramural citations and the influence of economic scholarship,joshua angrist
susan feng lu,inside job or deep impact? extramural citations and the influence of economic scholarship,joshua angrist
jorn-steffen pischke,"undergraduate econometrics instruction: through our classes, darkly (in russian)",joshua angrist
peter d hull,erratum to “leveraging lotteries for school value-added: testing and estimation”,joshua angrist
parag a pathak,erratum to “leveraging lotteries for school value-added: testing and estimation”,joshua angrist
christopher chambe,erratum to “leveraging lotteries for school value-added: testing and estimation”,joshua angrist
pierre azoulay,economic research evolves: fields and styles,joshua angrist
glenn ellison,economic research evolves: fields and styles,joshua angrist
ryan hill,economic research evolves: fields and styles,joshua angrist
susan feng lu,economic research evolves: fields and styles,joshua angrist
atila abdulkadroǧlu,regression discontinuity in serial dictatorship: achievement effects at chicago's exam schools,joshua angrist
yusuke narita,regression discontinuity in serial dictatorship: achievement effects at chicago's exam schools,joshua angrist
parag a pathak,regression discontinuity in serial dictatorship: achievement effects at chicago's exam schools,joshua angrist
roman a zarate,regression discontinuity in serial dictatorship: achievement effects at chicago's exam schools,joshua angrist
peter d hull,interpreting tests of school vam validity,joshua angrist
parag a pathak,interpreting tests of school vam validity,joshua angrist
christopher walters,interpreting tests of school vam validity,joshua angrist
miikka rokkanen,wanna get away? regression discontinuity estimation of exam school effects away from the cutoff,joshua angrist
miikka rokkanen,rejoinder,joshua angrist
david autor,evaluating econometric evaluations of post-secondary aid,joshua angrist
sally hudson,evaluating econometric evaluations of post-secondary aid,joshua angrist
amanda pallais,evaluating econometric evaluations of post-secondary aid,joshua angrist
stacey h chen,schooling and the vietnam-era gi bill: evidence from the draft lottery,joshua angrist
stacey h chen,long-term consequences of vietnam-era conscription: new estimates using social security data,joshua angrist
jae song,long-term consequences of vietnam-era conscription: new estimates using social security data,joshua angrist
susan dynarski,inputs and impacts in charter schools: kipp lynn,joshua angrist
thomas j kane,inputs and impacts in charter schools: kipp lynn,joshua angrist
parag a pathak,inputs and impacts in charter schools: kipp lynn,joshua angrist
christopher chambe,inputs and impacts in charter schools: kipp lynn,joshua angrist
victor lavy,the effects of high stakes high school achievement awards: evidence from a randomized trial,joshua angrist
francis kamarz (editor),how to do empirical economics,joshua angrist
david m blau,how to do empirical economics,joshua angrist
armin falk,how to do empirical economics,joshua angrist
jean-marc robin,how to do empirical economics,joshua angrist
christopher chambe,how to do empirical economics,joshua angrist
michael rees,long-term educational consequences of secondary school vouchers: evidence from administrative records in colombia,joshua angrist
jonathan gruber,"teacher testing, teacher education, and teacher characteristics",joshua angrist
jinyong hahn,when to control for covariates? panel asymptotics for estimates of treatment effects,joshua angrist
adriana kugler,protective or counter-productive? labour market institutions and the effect of immigration on eu natives,joshua angrist
kathryn graddy,the interpretation of instrumental variables estimators in simultaneous equations models with an application to the demand for fish,joshua angrist
guido w imbens,the interpretation of instrumental variables estimators in simultaneous equations models with an application to the demand for fish,joshua angrist
victor lavy,using maimonides' rule to estimate the effect of class size on scholastic achievement,joshua angrist
guido w imbens,"comment on james j heckman, ""instrumental variables: a study of implicit behavioral assumptions used in making program evaluations""",joshua angrist
jann spiess,double and single descent in causal inference with an application to high-dimensional synthetic control,guido imbens
amar venugopal,double and single descent in causal inference with an application to high-dimensional synthetic control,guido imbens
dmitry arkhangelsky,causal models for longitudinal and panel data: a survey,guido imbens
susan athey,semiparametric estimation of treatment effects in randomized experiments,guido imbens
peter j bickel,semiparametric estimation of treatment effects in randomized experiments,guido imbens
aiyou chen,semiparametric estimation of treatment effects in randomized experiments,guido imbens
michael pollmann,semiparametric estimation of treatment effects in randomized experiments,guido imbens
nathan kallus,controlling for unmeasured confounding in panel data using minimal bridge functions: from two-way fixed effects to factor models,guido imbens
xiaojie mao,controlling for unmeasured confounding in panel data using minimal bridge functions: from two-way fixed effects to factor models,guido imbens
lea bottmer,a design-based perspective on synthetic control methods,guido imbens
jann spiess,a design-based perspective on synthetic control methods,guido imbens
merrill warnick,a design-based perspective on synthetic control methods,guido imbens
patrick bajari,multiple randomization designs,guido imbens
brian burdick,multiple randomization designs,guido imbens
lorenzo masoero,multiple randomization designs,guido imbens
james mcqueen,multiple randomization designs,guido imbens
thomas richardson,multiple randomization designs,guido imbens
ido m rosen,multiple randomization designs,guido imbens
xinkun nie,covariate balancing sensitivity analysis for extrapolating randomized trials across locations,guido imbens
stefan wager,covariate balancing sensitivity analysis for extrapolating randomized trials across locations,guido imbens
dmitry arkhangelsky,design-robust two-way-fixed-effects regression for panel data,guido imbens
lihua lei,design-robust two-way-fixed-effects regression for panel data,guido imbens
xiaoman luo,design-robust two-way-fixed-effects regression for panel data,guido imbens
zhaonan qu,efficient treatment effect estimation in observational studies under heterogeneous partial interference,guido imbens
ruoxuan xiong,efficient treatment effect estimation in observational studies under heterogeneous partial interference,guido imbens
jizhou liu,efficient treatment effect estimation in observational studies under heterogeneous partial interference,guido imbens
susan athey,combining experimental and observational data to estimate treatment effects on long term outcomes,guido imbens
raj chetty,combining experimental and observational data to estimate treatment effects on long term outcomes,guido imbens
susan athey,the surrogate index: combining short-term proxies to estimate long-term treatment effects more rapidly and precisely,guido imbens
raj chetty,the surrogate index: combining short-term proxies to estimate long-term treatment effects more rapidly and precisely,guido imbens
hyunseung kang,the surrogate index: combining short-term proxies to estimate long-term treatment effects more rapidly and precisely,guido imbens
dmitry arkhangelsky,doubly robust identification for causal panel data models,guido imbens
dmitry arkhangelsky,double-robust identification for causal panel data models,guido imbens
dmitry arkhangelsky,synthetic difference in differences,guido imbens
